Neighborhood,Month,Day,Shift,Category 1,Category 2,Category 3,Category 4
Adamsville,1,2,Evening,0,0,1,1
Adamsville,1,3,Morning,0,1,0,0
Adamsville,1,3,Day,0,0,2,0
Adamsville,1,3,Evening,0,1,0,1
Adamsville,1,4,Morning,0,0,0,0
Adamsville,1,4,Day,0,0,1,1
Adamsville,1,4,Evening,0,0,1,1
Adamsville,1,5,Morning,0,0,2,0
Adamsville,1,5,Day,0,1,0,1
Adamsville,1,5,Evening,0,1,1,3
Adamsville,1,6,Morning,0,1,2,0
Adamsville,1,6,Day,0,0,1,2
Adamsville,1,6,Evening,0,1,0,5
Adamsville,2,0,Morning,0,0,1,1
Adamsville,2,0,Day,0,1,0,1
Adamsville,2,0,Evening,0,0,0,1
Adamsville,2,1,Morning,0,0,0,0
Adamsville,2,1,Day,0,0,0,0
Adamsville,2,1,Evening,0,0,0,1
Adamsville,2,2,Morning,0,1,0,0
Adamsville,2,2,Day,0,0,3,0
Adamsville,2,2,Evening,0,1,1,0
Adamsville,2,3,Morning,0,0,0,0
Adamsville,2,3,Day,0,0,0,0
Adamsville,2,3,Evening,0,0,0,1
Adamsville,2,4,Morning,0,0,0,0
Adamsville,2,4,Day,0,0,0,0
Adamsville,2,4,Evening,0,0,0,0
Adamsville,2,5,Morning,0,0,0,0
Adamsville,2,5,Day,0,1,0,1
Adamsville,2,5,Evening,0,2,1,2
Adamsville,2,6,Morning,0,0,0,0
Adamsville,2,6,Day,0,0,0,0
Adamsville,2,6,Evening,0,1,0,1
Adamsville,3,0,Morning,0,0,1,0
Adamsville,3,0,Day,0,0,0,0
Adamsville,3,0,Evening,0,0,0,0
Adamsville,3,1,Morning,0,1,0,1
Adamsville,3,1,Day,0,0,0,0
Adamsville,3,1,Evening,0,0,1,1
Adamsville,3,2,Morning,0,0,0,2
Adamsville,3,2,Day,0,0,0,2
Adamsville,3,2,Evening,0,0,0,0
Adamsville,3,3,Morning,0,0,0,1
Adamsville,3,3,Day,0,0,0,1
Adamsville,3,3,Evening,0,0,1,1
Adamsville,3,4,Morning,0,0,0,0
Adamsville,3,4,Day,0,0,2,0
Adamsville,3,4,Evening,0,0,0,0
Adamsville,3,5,Morning,0,0,0,0
Adamsville,3,5,Day,0,0,0,1
Adamsville,3,5,Evening,0,0,1,3
Adamsville,3,6,Morning,0,0,1,1
Adamsville,3,6,Day,0,0,0,1
Adamsville,3,6,Evening,0,0,2,3
Adamsville,4,0,Morning,0,0,0,3
Adamsville,4,0,Day,0,0,0,1
Adamsville,4,0,Evening,0,0,0,0
Adamsville,4,1,Morning,0,1,0,0
Adamsville,4,1,Day,0,2,0,0
Adamsville,4,1,Evening,0,0,1,0
Adamsville,4,2,Morning,0,0,1,0
Adamsville,4,2,Day,0,0,0,0
Adamsville,4,2,Evening,0,0,1,1
Adamsville,4,3,Morning,0,0,0,0
